交易时间	公众账号ID	商户号	特约商户号	设备号	微信订单号	商户订单号	用户标识	交易类型	交易状态	付款银行	货币种类	应结订单金额	代金券金额	微信退款单号	商户退款单号	退款金额	充值券退款金额	退款类型	退款状态	公司名称	商户数据包	手续费	费率	订单金额	申请退款金额	费率备注				值	
`2020-08-16 08:07:41	`wx271ae48b10918188	`1516858981	`0	`	`4200000572202008168789744868	`470650879647683476	`oJdiI1Cz2WAA9sWN_8L0siIs88Lc	`JSAPI	`SUCCESS	`ICBC_DEBIT	`CNY	`197.00	`0.00	`0	`0	`0.00	`0.00	`	`	道达尔集团	`r	`1.18000	`0.60%	197	0	`					
`2020-08-16 11:32:42	`wx271ae48b10918188	`1516858981	`0	`	`4200000594202008168333077993	`540650892622449674	`oJdiI1HdMtspsLmxSCQ2JwO33Dg8	`JSAPI	`SUCCESS	`PSBC_DEBIT	`CNY	`20.00	`0.00	`0	`0	`0.00	`0.00	`	`	欧菲	`r	`0.12000	`0.60%	20	0	`					
`2020-08-16 15:37:39	`wx271ae48b10918188	`1516858981	`0	`	`4200000595202008166075330668	`280650907224488664	`oJdiI1FGyXfChkVPIGTy2NKQx4DM	`NATIVE	`SUCCESS	`OTHERS	`CNY	`3.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.02000	`0.60%	3	0	`					
`2020-08-16 21:29:51	`wx271ae48b10918188	`1516858981	`0	`	`4200000592202008164830050538	`720650928520205379	`oJdiI1MxTDrg3k1-4Qx2uHEVj0kU	`NATIVE	`SUCCESS	`BOC_CREDIT	`CNY	`243.00	`0.00	`0	`0	`0.00	`0.00	`	`	达索析统（上海）信息技术有限公司	`r	`1.46000	`0.60%	243	0	`					
`2020-08-17 10:25:53	`wx271ae48b10918188	`1516858981	`0	`	`4200000576202008173516994876	`740650975052426428	`oJdiI1A0S6XsP8mvObMdTKAlhlM8	`NATIVE	`SUCCESS	`OTHERS	`CNY	`64.00	`0.00	`0	`0	`0.00	`0.00	`	`	华住集团	`r	`0.38000	`0.60%	64	0	`					
`2020-08-17 10:25:25	`wx271ae48b10918188	`1516858981	`0	`	`4200000588202008171371375043	`180650975061381001	`oJdiI1PVw_6zzwqiOl46rTseO42A	`NATIVE	`SUCCESS	`OTHERS	`CNY	`1.00	`0.00	`0	`0	`0.00	`0.00	`	`	浙江正泰新能源开发有限公司	`r	`0.01000	`0.60%	1	0	`					
`2020-08-17 17:55:29	`wx271ae48b10918188	`1516858981	`0	`	`4200000601202008176369672644	`800651001966190424	`oJdiI1LqsSo_8asZvbZHsEdAOWZE	`JSAPI	`SUCCESS	`BOC_DEBIT	`CNY	`16.00	`0.00	`0	`0	`0.00	`0.00	`	`	欧菲	`r	`0.10000	`0.60%	16	0	`					
`2020-08-18 07:47:37	`wx271ae48b10918188	`1516858981	`0	`	`4200000581202008188464192321	`340651052021543691	`oJdiI1FnYF6T7GwN1YylkUTY1R-w	`JSAPI	`SUCCESS	`OTHERS	`CNY	`20.00	`0.00	`0	`0	`0.00	`0.00	`	`	欧菲	`r	`0.12000	`0.60%	20	0	`					
`2020-08-18 10:50:33	`wx271ae48b10918188	`1516858981	`0	`	`4200000582202008186198180994	`530651062978954357	`oJdiI1PrY4QtAKE4s3nNcXz7aLvY	`NATIVE	`SUCCESS	`OTHERS	`CNY	`10.00	`0.00	`0	`0	`0.00	`0.00	`	`	包商银行	`r	`0.06000	`0.60%	10	0	`					
`2020-08-18 11:28:19	`wx271ae48b10918188	`1516858981	`0	`	`4200000585202008188313693639	`690651064399477398	`oJdiI1LbBQGwEur4UfS1v07z0OD8	`NATIVE	`SUCCESS	`OTHERS	`CNY	`4.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.02000	`0.60%	4	0	`					
